address,RNP_Points,RNP_primary_STO,RNP_final_STO
0x4bb300febe9ebe70c80058e3c14d1c458d7658b0,12268625,3355.993166877785180765,3355.993166877785180765
0x11c5c697cb5e34e1f887bfcdffbb0c405c800d97,12133298,3318.975449954000320183,3318.975449954000320183
0x7c88c155478e34934aeb59691451ae12d3bc325a,12061224,3299.260131284667001322,3299.260131284667001322
0x8bb6143f6dd32703cbee93d06dc6804f97b9d10b,11970712,3274.501231773072010662,3274.501231773072010662
0x66d73b65f65f60fe1772bc3ac8d7fcd4ee8fb193,11964654,3272.844109919160458013,3272.844109919160458013
0xcbe3b686c1c8037892211b37f51d1d04d1bebb51,11927124,3262.578051289695193744,3262.578051289695193744
0x95d50631c0b4cf4b14a6753df6cc56dd31f6c814,11878083,3249.163242303614564248,3249.163242303614564248
0x0c581aa72e35f786a957d3abb0d1ee10a80e2b92,11857258,3243.466714966587808896,3243.466714966587808896
0xb5e5ae8cc3ea5a0f91fd889a94b6775277b809fa,11845468,3240.241646188506394941,3240.241646188506394941
0x1897fd5b6dbc8c5c1475f402a05c8d7ea76c69f6,11704140,3201.582399346378314245,3201.582399346378314245
0xb326ef34068e80c36e4cf9f43fda326ba6d21a7c,11678796,3194.649732415784984705,3194.649732415784984705
0x1ffbc52faddb3d4eef6571c765323e254a419517,11608889,3175.527180840777571191,3175.527180840777571191
0x636797073328373bb5590cc50bfb7ebb9a219e6f,11508560,3148.082912355948887504,3148.082912355948887504
0x598eecd5ead7984a5363dfc2295284078a6659a3,11492000,3143.553044759254382407,3143.553044759254382407
0xb462cf78d42c4f7e6fc98e824b4efeec53adc0bb,11478220,3139.783625949927674663,3139.783625949927674663
0x98877278de1d6253532b718230a93ec13fe5788d,11387531,3114.976309375252072445,3114.976309375252072445
0x118fe7cec5f26a7c50f6c5bf732f0e6951222ef9,11340668,3102.157276453519307207,3102.157276453519307207
0x5555be3109674e41312a341bd9e9017e6569c82d,11286575,3087.360529599171730866,3087.360529599171730866
0x2622ab33cabd05f01ce7ac3956d597bd872e1b42,11159453,3052.587230769038948443,3052.587230769038948443
0xf5445c0e1b54ce6f6be135ccbef3fb0d77c6241b,11116848,3040.932942788533550518,3040.932942788533550518
0x104f433be8637384cf2bd3c4aca8bfe3bb037c04,11027396,3016.463998569963691223,3016.463998569963691223
0x102522125522ca393a9305ddd11d837d64b98eaf,10972782,3001.524735953666970127,3001.524735953666970127
0xe4286256cfc49394343bc99ea49b999df2733b3f,10960918,2998.279425013619650775,2998.279425013619650775
0x0fbec579d6a3611b90acb39f86213283df1c877b,10766198,2945.015184770361557027,2945.015184770361557027
0x8880e22cc27549fa315d4e30678a840d9cb82734,10720370,2932.479268573422198357,2932.479268573422198357
0x19dd96d1435b2f31bcdbfb2dc2dc9fa75ce5abe4,10668438,2918.273647557024913412,2918.273647557024913412
0x5774a676608df601ccbc4f05b96a855dc99f660e,10519478,2877.526722605115886889,2877.526722605115886889
0xb2b8f55b469428d8dc4a4eb64e5c11f66e34b5b5,10468694,2863.635128641919404592,2863.635128641919404592
0x41b2f92e51f25c62c8d17b0cc099bc2430611b1f,10453340,2859.435153576723303671,2859.435153576723303671
0xe99f0156bed9e43489100a8363a321aedaff4727,10452146,2859.108543557976127398,2859.108543557976127398
0x979a6639300900d8f34df31cacbab8a494ec514a,10451799,2859.013624230919787225,2859.013624230919787225
0xe3b89e352aadd558489ec87f6b64b299c0c4b553,10442842,2856.563502004857427191,2856.563502004857427191
0x567bba26a2a5efb859c8d08b25ef7c2e84257101,10343728,2829.451587936090568606,2829.451587936090568606
0xbbce4d6e7347b0ca075243655303c7357c46176a,10311309,2820.583606195919121702,2820.583606195919121702
0xad6bf602f218a7b41221424858688b635ec89239,10176630,2783.743144960700567841,2783.743144960700567841
0x3b21b13b99a903c37b62001d63864cb405f103bf,10135515,2772.496435646805967777,2772.496435646805967777
0x589448476ccf2fc6550eb25106b08bf07c482161,10132643,2771.710820928345423174,2771.710820928345423174
0x175437b00da09f18d89571b95a41a15aa8415eba,10120007,2768.254335001302442111,2768.254335001302442111
0x74eb390c06a7cc1158a0895fb289e5037633e38b,10106070,2764.441969983480502646,2764.441969983480502646
0x58b1a42264eb08b6bc69bc278e47b5aa9b00c30b,10097612,2762.128345579323369548,2762.128345579323369548
0x955af4de9ca03f84c9462457d075acabf1a8afc8,10089432,2759.890766053903016185,2759.890766053903016185
0x3aa8ac0e6c1fb9cbb733565de16cdc5a676bcb04,10043166,2747.235038141543839083,2747.235038141543839083
0x10f32ad771a8d0cf148f2970690137eae017462b,10019730,2740.824290738395746000,2740.824290738395746000
0xbcf1bd744d07c5c1313e23d4df0616f5a72568ae,9973183,2728.091697319111982187,2728.091697319111982187
0x36f482650a7bf288dd98dbbe905b8ba3ee46472e,9935952,2717.907427965698146483,2717.907427965698146483
0xd2b5bb9dd60fd1f16a3c7b02fcd60e2bd98b62d9,9920010,2713.546609775691878352,2713.546609775691878352
0x813d6bc343d96756c6734bcac586bd3f71fb4e39,9894238,2706.496866556971420299,2706.496866556971420299
0x1c5dfbcf035aa02e4a1976a9302a2ab39cdc522e,9882517,2703.290672227209566782,2703.290672227209566782
0x448f3b512d809c3fc7a563fca64db9f0b2573de5,9878592,2702.217017014828773756,2702.217017014828773756
0xa0419b5e0f558fa6d57c29745d3a882650d40154,9778583,2674.860282203366167462,2674.860282203366167462
0x56fcfd9d13dad1e96c83c99212759d94d2554fe1,9750760,2667.249502846915007118,2667.249502846915007118
