Address,mint_cSTONE
0xc9bb150ddce08aa6a16e0d3d40e716c3c2bd21fe,T
0x959593113f566086f1d66a88ce82e4479ebadede,T
0x0802adb201c64e934081e493892077abca42b598,T
0x8fda86c4721e956e45aec687e0402e83ee7ad2e7,T
0xd012102afd1f47935948838c2fa32e2e7aef99c3,T
0xf585b95b76cbbb9324d2e2d6a754b984b708b870,T
0x773a149b610da26e24d2ae82e56bf5bf6fed86f9,T
0xc9eaf0d22d9d266f5691e8aabfabc0c19f7bf6ae,T
0x161cf4824ff2157af188e414b6a29832fad2f67b,F
0xa3685017e267c0140abb65d052c9478b31d94545,T
0xadecf37e1b9187bea9594ac89acc4457aa6366c7,T
0x340f9b8fb2785e47a2b21f4fa39a6defbc8550ad,T
0x28c411fbedc7f2a4de9aae25fb408e4be6f7eb5c,T
0x268070d5eed5b24e34a5f4c17b5482178b18089d,T
0x4b88e01453eae4759a28373ffa7893aecc40a04c,T
0xdaacf485ea887101cef89a1dd18251c46f92bfb0,T
0x025ed2a52fda1b3e9666460f279596231ecde9e1,T
0x47e05bb20a14c9a27fa8706af83fff7a480de47f,T
0x96637d7a09bc987c8119c9070c64bb4146400000,T
0x9105766acd092d6c0bad7f06852cd1864b92c654,T
0x8a8023731513ff2aea939915a086f8b5a070c4b5,T
0x01b49d881894ae6e448586f83b2b73ca652caef1,T
0x5ce6a7f1daac0c61fe2691284bf0bcfc4cedb321,T
0xfce122755ac97d604067e1d6a042208570a09dfd,T
0xf26ce00bad28b56a8147b08fee16f4d4de948dae,T
0x4dca2f82dbe8d0dd46fd06f61c4d604f47add865,T
0x732acd5b1d1accab2e926fd9abd4910da9863719,T
0x9d9f05bb7174f1017567e8ce2e085afc137c6c49,T
0x48544a58b5c828fa1d14eaa5f25fe0084e2d2aa2,F
0x3e205ff26cd6285564807db0df3c0485306feab6,T
0xeeac2e4090bce2b2f4041b629cd1f78b7bed1280,T
0x45a06a561a891416d4b9e75ac7c5eb5fff302f50,T
0x52c2dc57f56df830443544d6c7f54bf8c4755b36,T
0x86d6c0f3b66234a742fd1079828d8149fb22343d,T
0xb008ca818c60f1c57da79fe0371fed2a8d2cc562,T
0x9f7f479bfd818a8f8fa5f06a781534646ace625f,T
0x489ec135ec1ce82c7c9d10c86b88477ab0754cc7,T
0xaed954da2a6a41c061522554f45613e8e4a170cb,T
0x5cf232c9fca678e0f4ed60cef1d2edd3a93d9718,T
0xc27483302b7ad9077ba28951f06365102cd1f968,T
0x00131b63381f2510390c6ddc99b603d1eb46049c,T
0x8639aff89021f3136c41fa5c4935993a93461286,F
0x4192b89255d30853b91271238b82d1cd6486aacf,T
0xf6fe9679254698bd5e32cd02f830b9725e703937,T
0x6b28941a05edafafd071084854b892dbb245f554,F
0xe4573eaeebbe18556cf5d6f29f092542e8711918,T
0xe47e1ac440a31a8c77c825cf30d9a91f6352bc84,T
0x5c8a00b9183012998ce7a0f0d6cb920b7340d290,T
0xe4a42b81a4127341214cacee95f5f754270e8bfa,T
0x971fa07919422612e932c74e3029508e0d811576,T
0xa23dee8862cf33b79f5f15a89c742d80639d16dc,T
0xab4e9a466081ef47a4b4a61167095d30f5af0f2f,T
0x4662acda85ac7c648e1d08e1534a7a431264bd7a,T
0xe07b0d194e0a9dd8aa0d05c79acdcc8ed87fc3f5,T
0x52f0cc6e16a5710f6d9d43eaf7e74792dc8ca158,T
0x322d33bc6e68c47d0a8099c5fd384e8c68413dc2,T
0xad953b5fa57ce52a38c6e7ff1e2dd0481205ef44,T
0xd4fc2e64936b9d6853e2eb380b1c2710aa1f90c1,T
0x6fe1fac8fc56cd099f74d11ba95cd550376e7c7c,T
0xce225fb9eaa879ed1a555e7e6df103b963ed1a55,T
0xb947e4e3c99b31b49570b08c81b048268d82a4bf,T
0xa8e17f37019decc51dfc7b79d36e7803291b133a,T
0xdc7da0e674eea0d14a050227dee9f5ee702c41bd,F
0x8bf0742f96ddc1f6d06b0152d426042c47e6951f,T
0xe9bf5f12254104dcd9edcc578b19ad1429d56174,T
0x1f3b64b6a744a51b19773b0e249176a4f6a7e6cc,T
0x0693c4d2e25a8b2dfb99d9ee569a365beb347f73,T
0xea0fd9d873c2a5cb6efd7cf226c45476dd329bbe,T
0x21bdb91661a4472ff0d3871c300d4120a886ad9b,T
0x4145d28df598967bd0eb227251f0d06805126004,T
0x2e3f084ab381bc588f7fe874ab4b47e6de40b4f3,T
0x6fb5bb4aedd3f7e9c6be2fc93f1b27b74993f194,T
0xc03f6a53dfc434dbd78ffed528fcdd3f406576a0,T
0xd7a7c1cfc1d66ea62b9c06b0a1b05f8e835c76c8,T
0x87126bb15aec29e4f07284b0187ee4eae71ac3dc,T
0x8e464db631dfaf6cddb08c13bb4979e4108bac64,T
0x52c7e2bf54942cd1b82c8acf83687dbb7f98fb70,T
0x293a38bd1d2f226fa58c42cd1b8d101aa198b5da,T
0x954ac6368742dde39e3e62cad3b3df39877747b3,T
0xc06d834fb0cad4c7a3ad1754e42f938a6ddbc2a1,T
0x5cd3df20faa60901edf553fff4552b5cad0f4570,T
0x9243a35679914b03584092a7652396b4e3308165,T
0xe221199497ecf48efa70f1303dfa96c6a7076b40,T
0x680f089982d3bc0f2612f8534927b1a17b248e3e,T
0x3c1eecaefc662d1a1a081683c8a2414f334c0d2c,T
0x23c71305b63359a5fb2fe3712e4441df1919fa6d,T
0x43c768e0ee06b7c8a58d1badf5a9de5aef1efecc,T
0x04a0f64225066999175906bfb7954b07391c7255,T
0x6bf1641d3dad3bdd0f5e41b224a5fc2e979756d3,F
0x69b4e4fb753f90cb7a715e7db714ac3641c5fd36,T
0x098144add2e93c3707f33940d2fb59c4ee749df2,T
0x16e2fa631673914f7ad5b12bfc62f2768de9cad7,T
0xfc6f32663d1851aa1dfa4dd4835ccd90e810114c,T
0x0a6f15744161e05a1ff97b891ba4c850e53ad4f2,T
0xfaf585c845d270f6172d8aefaba3d8873ccca956,T
0x62c85ef8030acf91815e668182bfbbb83ef2fe84,T
0x9f6086e0ce7c4d464c513e8ecfc2c798423cb7e1,T
0x4bfb2c232f70c83136a3f206cd26df2a0b605cec,T
0xf3e3b29157338c0bca61024c83affa2cc3521435,T
0x5cc8f13128532555f77ac61b931e954f855e815f,T
0xdef9f69a82002eeddd8e510db18cefd9b21d52a0,F
0xa865a002014221ac34cbdf38d5cd65c72631cbdf,T
0xf7b28b5f9bd6d8b666b1c0d24897fa20ec1dc25f,T
0x5c797bbeefc7aa6124ec07ea6a0c581d9cb48fa7,T
0x476863fc6046371b976b9106359e2a2efa70a899,T
0x766a5b4e5ef099fc411ffe37dde0e0e303cb5908,T
0xb6e05eb64ca8c4a2b577d6dfecdc4395a47fe078,T
0x3ca55e5888e001702f49908b58bd7eeef207d238,T
0xeab6f7bafcd9726f5f7a31388ba851b045a0774c,F
0x42f2bc61b637e2b7734da53951635ae19a57922f,T
0xf696ee71fdff79b8c6c64ec65c0867cee49aafba,T
0xa2131084292c84e3bfb6b91cb060501ae6cebb8a,F
0xc20417d027f97a4a3fb489ff98fa3acfe8a5650b,T
0xe3cb81d69c251a7586b946792986b7d7dcd42673,T
0x8dd601873da297b3292896a8b7ae0046c23b2d51,T
0x0a256324b1d9fb59d4c490d93c8d5555f2fe4c7a,T
0x10054bcc83952a1838e5dc6573611316533f32a2,T
0x863200854aa6f18c7e8f2d554b20c709199a7b9d,T
0x4818a36fcd0b9254e14258c70d6cb793cf5e50d7,F
0x4f1dcfb5d1634c1dcdb0f338e7a5a97f2be91e4c,T
0x69d7b56e48f4a6e60fe51d4cb16e4d44ac2d3fc0,T
0x92c410bfda02026be5afda432a4cdd997e625136,T
0x9fbab9163f86108acfdf1da8589f9d43e43c75eb,T
0xa52e5f79e76e5b0eb1568e7992bd90b7144c8f04,T
0x34af1b0a082e464bae9f3d6f6938752f9850858f,F
0x93cb1193f316f218eb2daf0c7b958913da39b699,T
0xc33a371beea05e4976e7259b9b442c022e55de84,T
0xe20bc5278de09d0640210ddc02a443fc5c2d952c,T
0x4d2d37fad59c4cf0a4cc9b936d7a4e4cd8f233d4,T
0x1757ab4aa0ee3386e8c2580a8463e1856f78f063,T
0xebb181fc9bfc9f8c3c81af7dc477d7694f277da0,T
0xc950139dfc6df9fd10797b7b0cebc3a2d60ef178,T
0x3ed8cb53a993d3efcccdb91a777c43ca84d5ff9b,T
0x5ec307af21cee32eb6a51d19d251d2aa7b192802,T
0xdf1943dfb5d1b7853a136848b32522d0ed9db5a9,F
0x8d32fd9a50b12c8e372e8828220fd406678fb2be,T
0xb81dbb2d7f4226e634588270cfd1279debd1f6ad,F
0xa5d48d2bbcfdede63ab6da5f5b326c9a27cb212e,F
