user,holdDuration,holdAvgBalance,holdLastBalance,holdWeight,pancakeWeight,finalWeight
0xe2a3c03c9585b01f76fe2d7ea0f3e9a6eefb9ded,604800,19.856191439627937279,19.856191439627937279,138.993340077395560939,0,138.993340077395572507
0xed36f31b121c854f73ad2e21e9dfd03bdd63aac8,233085,49.105703699235449780,49.105703699235449780,132.474571142781189948,0,132.474571142781201161
0x1ce819a997071304ca1ec1104f07a7f2c7707fc7,604800,17.552384447577303497,17.552384447577303497,122.866691133041124465,0,122.866691133041129547
0x019464b344703efdc94dbbf4b9d66ff335ab3125,604800,16.839559312534561941,16.839559312534561941,117.876915187741933574,0,117.876915187741929003
0x4426f66628e02299932c49c4685f4a50a5f8666c,604800,12.908307218354538730,12.908307218354538730,90.358150528481771093,0,90.358150528481772312
0x6e3a4cd61f3ae19eff90a1e9ba6f2673432d02de,604800,12.306471443287128989,12.306471443287128989,86.145300103009902912,0,86.145300103009901704
0x0be1ced347b9cae3a21feb1e416813092b6da144,314564,20.740089058170304778,20.740089058170304778,75.510247389980136015,0,75.510247389980136745
0x206e881831f1a78059e4786f9b3d70d9c3cf4c6f,604800,10.632959720543293273,10.632959720543293273,74.430718043803052895,0,74.430718043803054229
0xbd14534c9dad5df55bfe9241e34bd7d540677abf,604800,9.992192038099675794,9.992192038099675794,69.945344266697730546,0,69.945344266697730973
0xc1364ad857462e1b60609d9e56b5e24c5c21a312,604800,9.891201920763146111,9.891201920763146111,69.238413445342022762,0,69.238413445342018804
0xcc3b60119ef4f7f064e749f9f799102f8844b385,604800,9.835773861025343289,9.835773861025343289,68.850417027177403008,0,68.850417027177400087
0xee5245eb1ca0518e1b730e516f301a91eb9c3416,604800,9.800846774410956829,9.800846774410956829,68.605927420876697787,0,68.605927420876696488
0xd4150b83ec3136be9ff9f7f696853e29bef688fa,604800,9.763237032995888671,9.763237032995888671,68.342659230971220683,0,68.342659230971221973
0x2584d326d3a0d3d47565af66b799cf8d71d17daf,604800,8.618444396782547527,8.618444396782547527,60.329110777477832675,0,60.329110777477829686
0x2231bec9c6479e4ce9c6aa5e7b997584523987cf,604800,5.332312001181531827,5.332312001181531827,37.326184008270722775,0,37.326184008270722359
0x18b57285f25bf9d3e4157bfa9f460336862b076d,604800,4.952241260916770720,4.952241260916770720,34.665688826417395025,0,34.665688826417394353
0xa3207c3e3f1fc40b26aca8c37be77922a4001a76,604800,2.719494140528545266,2.719494140528545266,19.036458983699816848,0,19.036458983699816372
0x16e868c6d41a1a9d4f4d48a1961130c1538524e4,604800,2.510637553978783957,2.510637553978783957,17.574462877851487684,0,17.574462877851487974
0x9683b75853394b4d664256fdba643d651926c857,604800,2.170000000000000000,2.170000000000000000,15.189999999999999985,0,15.189999999999999503
0xed6e4c3b1d0e93e52cc7c5ad5e4a897822033b13,604800,2.072881000000000000,2.072881000000000000,14.510166999999999985,0,14.510166999999999149
0xbb4a8a6c45ca94139ecd26356bc44aa92fd09ff8,604800,1.986694757231361459,1.986694757231361459,13.906863300619530200,0,13.906863300619530577
0x6934a57c5e15b5c389c214498660493dfffd646e,604800,1.970223241984559937,1.970223241984559937,13.791562693891919545,0,13.791562693891918912
0x00000047bb99ea4d791bb749d970de71ee0b1a34,604800,1.384016161342896280,1.384016161342896280,9.688113129400273950,0,9.688113129400273138
